objectid,id_no,sci_name,presence,origin,seasonal,compiler,yrcompiled,citation,subspecies,subpop,event_year,source,basisofrec,catalog_no,dist_comm,island,tax_comm,legend,kingdom,phylum,class,order_,family,genus,category,latitude,longitude
50362,135110,Syntripsa matannensis,1,1,1,Christoph Schubart,2018,IUCN, , ,1995,Chia & Ng (2006),HumanObservation,, ,,,Extant (resident),ANIMALIA,ARTHROPODA,MALACOSTRACA,DECAPODA,GECARCINUCIDAE,Syntripsa,EN,-2.533333,121.471667
50363,135110,Syntripsa matannensis,1,1,1,Christoph Schubart,2018,IUCN, , ,1999,Chia & Ng (2006),HumanObservation,, ,,,Extant (resident),ANIMALIA,ARTHROPODA,MALACOSTRACA,DECAPODA,GECARCINUCIDAE,Syntripsa,EN,-2.559433,121.419783
50364,135110,Syntripsa matannensis,1,1,1,Christoph Schubart,2018,IUCN, , ,1999,Chia & Ng (2006),HumanObservation,, ,,,Extant (resident),ANIMALIA,ARTHROPODA,MALACOSTRACA,DECAPODA,GECARCINUCIDAE,Syntripsa,EN,-2.524867,121.449933
50365,135110,Syntripsa matannensis,1,1,1,Christoph Schubart,2018,IUCN, , ,1999,Chia & Ng (2006),HumanObservation,, ,,,Extant (resident),ANIMALIA,ARTHROPODA,MALACOSTRACA,DECAPODA,GECARCINUCIDAE,Syntripsa,EN,-2.506667,121.332778
50366,135110,Syntripsa matannensis,1,1,1,Christoph Schubart,2018,IUCN, , ,1999,Chia & Ng (2006),HumanObservation,, ,,,Extant (resident),ANIMALIA,ARTHROPODA,MALACOSTRACA,DECAPODA,GECARCINUCIDAE,Syntripsa,EN,-2.4495,121.216667
50367,135110,Syntripsa matannensis,1,1,1,Christoph Schubart,2018,IUCN, , ,1999,Chia & Ng (2006),HumanObservation,, ,,,Extant (resident),ANIMALIA,ARTHROPODA,MALACOSTRACA,DECAPODA,GECARCINUCIDAE,Syntripsa,EN,-2.4335,121.217167
50368,135110,Syntripsa matannensis,1,1,1,Christoph Schubart,2018,IUCN, , ,2000,Chia & Ng (2006),HumanObservation,, ,,,Extant (resident),ANIMALIA,ARTHROPODA,MALACOSTRACA,DECAPODA,GECARCINUCIDAE,Syntripsa,EN,-2.461528,121.218417
110196,134323,Nautilothelphusa zimmeri,1,1,1,Christoph Schubart,2018,IUCN, , ,1988,Chia & Ng (2006),HumanObservation,, ,,,Extant (resident),ANIMALIA,ARTHROPODA,MALACOSTRACA,DECAPODA,GECARCINUCIDAE,Nautilothelphusa,EN,-2.669444,121.416667
110197,134323,Nautilothelphusa zimmeri,1,1,1,Christoph Schubart,2018,IUCN, , ,1999,Schubart et al. (2008),HumanObservation,, ,,,Extant (resident),ANIMALIA,ARTHROPODA,MALACOSTRACA,DECAPODA,GECARCINUCIDAE,Nautilothelphusa,EN,-2.862167,121.398333
110198,134323,Nautilothelphusa zimmeri,1,1,1,Christoph Schubart,2018,IUCN, , ,1999,Schubart et al. (2008),HumanObservation,, ,,,Extant (resident),ANIMALIA,ARTHROPODA,MALACOSTRACA,DECAPODA,GECARCINUCIDAE,Nautilothelphusa,EN,-2.856333,121.5455
110199,134323,Nautilothelphusa zimmeri,1,1,1,Christoph Schubart,2018,IUCN, , ,1999,Schubart et al. (2008),HumanObservation,, ,,,Extant (resident),ANIMALIA,ARTHROPODA,MALACOSTRACA,DECAPODA,GECARCINUCIDAE,Nautilothelphusa,EN,-2.77,121.5995
110200,134323,Nautilothelphusa zimmeri,1,1,1,Christoph Schubart,2018,IUCN, , ,1999,Schubart et al. (2008),HumanObservation,, ,,,Extant (resident),ANIMALIA,ARTHROPODA,MALACOSTRACA,DECAPODA,GECARCINUCIDAE,Nautilothelphusa,EN,-2.728333,121.439333
110201,134323,Nautilothelphusa zimmeri,1,1,1,Christoph Schubart,2018,IUCN, , ,1999,Schubart et al. (2008),HumanObservation,, ,,,Extant (resident),ANIMALIA,ARTHROPODA,MALACOSTRACA,DECAPODA,GECARCINUCIDAE,Nautilothelphusa,EN,-2.681667,121.69
110202,134323,Nautilothelphusa zimmeri,1,1,1,Christoph Schubart,2018,IUCN, , ,1999,Chia & Ng (2006),HumanObservation,, ,,,Extant (resident),ANIMALIA,ARTHROPODA,MALACOSTRACA,DECAPODA,GECARCINUCIDAE,Nautilothelphusa,EN,-2.610667,121.475667
110203,134323,Nautilothelphusa zimmeri,1,1,1,Christoph Schubart,2018,IUCN, , ,1999,Chia & Ng (2006),HumanObservation,, ,,,Extant (resident),ANIMALIA,ARTHROPODA,MALACOSTRACA,DECAPODA,GECARCINUCIDAE,Nautilothelphusa,EN,-2.599222,121.472
